# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M	﻿# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M
# Readings (second column) were added using pykakasi
の	ノ
議長	ギチョウ
過酷	カコク
あんま	アンマ
パイプ	パイプ
召し上がる	メシアガル
悪気	ワルギ
習慣	シュウカン
請求	セイキュウ
フライ	フライ
マスタング	マスタング
不動産	フドウサン
広場	ヒロバ
拝見	ハイケン
指定	シテイ
暁	アカツキ
痛い目	イタイメ
ぎん	ギン
リハーサル	リハーサル
捕獲	ホカク
歴史家	レキシカ
破片	ハヘン
経歴	ケイレキ
遊園地	ユウエンチ
餅	モチ
スグ	スグ
基本的	キホンテキ
ばつ	バツ
みれる	ミレル
入り込む	ハイリコム
小木	オギ
河村	カワムラ
積極的	セッキョクテキ
えーっと	エーット
なんぞ	ナンゾ
台湾	タイワン
子どもたち	コドモタチ
振る舞う	フルマウ
神谷	カミヤ
恥じる	ハジル
曲げる	マゲル
狐	キツネ
発音	ハツオン
遂行	スイコウ
一味	ヒトアジ
血管	ケッカン
いずみ	イズミ
タレ	タレ
おごり	オゴリ
ラッパー	ラッパー
仕打ち	シウチ
学べる	マナベル
座標	ザヒョウ
渇く	カワク
オン	オン
メリークリスマス	メリークリスマス
予言	ヨゲン
指令	シレイ
核	カク
苦情	クジョウ
あや	アヤ
ご一緒	ゴイッショ
ニス	ニス
勢力	セイリョク
執着	シュウチャク
エレナ	エレナ
さみしい	サミシイ
ホース	ホース
やり直し	ヤリナオシ
我が社	ワガシャ
暴露	バクロ
聖なる	ヒジリナル
過程	カテイ
サーカス	サーカス
シェーン	シェーン
たった１人	タッタ１ニン
ふたり	フタリ
プリン	プリン
うり	ウリ
おしり	オシリ
ミゲル	ミゲル
黄	キ
お祭り	オマツリ
並んで	ナランデ
北部	ホクブ
団長	ダンチョウ
暮れる	クレル
橘	タチバナ
重傷	ジュウショウ
バレエ	バレエ
定	テイ
提督	テイトク
カラオケ	カラオケ
たたえる	タタエル
フル	フル
大昔	オオムカシ
法的	ホウテキ
財団	ザイダン
屈辱	クツジョク
組み合わせ	クミアワセ
鳳	オオトリ
っしょ	ッショ
マダム	マダム
依存症	イゾンショウ
全米	ゼンベイ
キティ	キティ
多数	タスウ
あっという間に	アットイウマニ
拠点	キョテン
祭	マツリ
葵	アオイ
解読	カイドク
ボーグ	ボーグ
組合	クミアイ
転がる	コロガル
野明	ノメイ
エイリアン	エイリアン
ニール	ニール
ロク	ロク
丈	タケ
隠る	カクル
おおい	オオイ
だく	ダク
交流	コウリュウ
仕込む	シコム
寝息	ネイキ
自首	ジシュ
ご挨拶	ゴアイサツ
しめる	シメル
京都	キョウト
兵衛	ベエ
外部	ガイブ
節約	セツヤク
ネクタイ	ネクタイ
ミカ	ミカ
瀬戸	セト
花道	ハナミチ
裁く	サバク
風間	カザマ
ウマ	ウマ
ウン	ウン
偵察	テイサツ
堅い	カタイ
封じる	フウジル
老	ロウ
銀河	ギンガ
シェル	シェル
ドラム	ドラム
不愉快	フユカイ
使者	シシャ
律子	リツコ
村田	ムラタ
ダチ	ダチ
とどまる	トドマル
ルーム	ルーム
交信	コウシン
動物園	ドウブツエン
意味不明	イミフメイ
無茶	ムチャ
続行	ゾッコウ
老師	ロウシ
闘い	タタカイ
島田	シマダ
更新	コウシン
眺め	ナガメ
あの方	アノホウ
ボランティア	ボランティア
仮に	カリニ
単に	タンニ
実在	ジツザイ
引きずる	ヒキズル
持	ジ
功績	コウセキ
収入	シュウニュウ
手加減	テカゲン
うせる	ウセル
くじ	クジ
スポンサー	スポンサー
パジャマ	パジャマ
フェイス	フェイス
保安	ホアン
命中	メイチュウ
ウェイン	ウェイン
オイラ	オイラ
ゴミ箱	ゴミハコ
ひん	ヒン
一松	イチマツ
縫う	ヌウ
順位	ジュンイ
オフ	オフ
偽り	イツワリ
災い	ワザワイ
荷	カ
農家	ノウカ
黄色い	キイロイ
インターン	インターン
かわす	カワス
くに	クニ
ショップ	ショップ
一夜	イチヤ
仕掛け	シカケ
寧	ネイ
表面	ヒョウメン
ウェス	ウェス
お見通し	オミトオシ
ゲイリー	ゲイリー
ハロ	ハロ
ヘロイン	ヘロイン
冊	サツ
勲章	クンショウ
取り組む	トリクム
水泳	スイエイ
賢也	ケンヤ
難民	ナンミン
わな	ワナ
任	ニン
居心地	イゴコチ
打球	ダキュウ
海兵隊	カイヘイタイ
破裂	ハレツ
試食	シショク
いやー	イヤー
グッド	グッド
ハロウィーン	ハロウィーン
三船	ミフネ
女子高生	ジョシコウセイ
くつろぐ	クツログ
ランス	ランス
乳首	チクビ
引き裂く	ヒキサク
漂う	タダヨウ
稼ぎ	カセギ
スゲ	スゲ
それら	ソレラ
変装	ヘンソウ
室谷	ムロヤ
文書	ブンショ
病人	ビョウニン
食品	ショクヒン
内臓	ナイゾウ
史	シ
思いっきり	オモイッキリ
期限	キゲン
真犯人	シンハンニン
荷造り	ニヅクリ
みそ	ミソ
先住民	センジュウミン
泊める	トメル
陥れる	オチイレル
つかまえる	ツカマエル
やけに	ヤケニ
射殺	シャサツ
手ごわい	テゴワイ
いづ	イヅ
ミミ	ミミ
もち	モチ
教	キョウ
腎臓	ジンゾウ
適切	テキセツ
鹿	シカ
からには	カラニハ
ヶ月	ヶガツ
周年	シュウネン
命懸け	イノチカケ
大歓迎	ダイカンゲイ
理事	リジ
腹ペコ	ハラペコ
送り込む	オクリコム
連れ去る	ツレサル
いわば	イワバ
ティファニー	ティファニー
デス	デス
大人気	ダイニンキ
引け	ヒケ
悪霊	アクリョウ
織姫	ショクヒメ
自力	ジリキ
アニキ	アニキ
サリー	サリー
シオン	シオン
ロッカー	ロッカー
研修	ケンシュウ
青峰	アオミネ
願い事	ネガイゴト
あいにく	アイニク
グル	グル
仲良し	ナカヨシ
芝	シバ
解消	カイショウ
関東	カントウ
保護者	ホゴシャ
冒険者	ボウケンシャ
塞ぐ	フサグ
寛大	カンダイ
探知	タンチ
準決勝	ジュンケッショウ
解体	カイタイ
あそぶ	アソブ
コック	コック
ふじ	フジ
独りぼっち	ヒトリボッチ
公生	コウナマ
包囲	ホウイ
描ける	エガケル
童貞	ドウテイ
臆病者	オクビョウモノ
タコス	タコス
歴	レキ
論文	ロンブン
真波	マコトナミ
若	ジャク
見つけ出す	ミツケダス
ハエ	ハエ
動	ドウ
気がつく	キガツク
決戦	ケッセン
ひかり	ヒカリ
プレーヤー	プレーヤー
会合	カイゴウ
名声	メイセイ
残れる	ノコレル
移住	イジュウ
ことし	コトシ
ヒデ	ヒデ
手足	テアシ
濡れる	ヌレル
アクセル	アクセル
スパーク	スパーク
ドラ	ドラ
裕福	ユウフク
あらす	アラス
ソク	ソク
不十分	フジュウブン
巡査部長	ジュンサブチョウ
心臓発作	シンゾウホッサ
態勢	タイセイ
絶滅	ゼツメツ
軍団	グンダン
オーブン	オーブン
カズ	カズ
ブルックリン	ブルックリン
上空	ジョウクウ
移送	イソウ
程	ホド
精神科	セイシンカ
でないと	デナイト
出現	シュツゲン
合体	ガッタイ
告発	コクハツ
想定	ソウテイ
本格的	ホンカクテキ
正す	タダス
オナラ	オナラ
ライフ	ライフ
学院	ガクイン
見下す	ミクダス
資産	シサン
おとる	オトル
急ぎ	イソギ
演劇	エンゲキ
見当	ケントウ
貯金	チョキン
過激	カゲキ
アイザック	アイザック
ナンパ	ナンパ
ブーツ	ブーツ
合える	アエル
感情的	カンジョウテキ
手口	テグチ
良心	リョウシン
命の恩人	イノチノオンジン
ウエスト	ウエスト
お尻	オシリ
タイヘイ	タイヘイ
ばあさん	バアサン
まぁ	マァ
停電	テイデン
大喜び	オオヨロコビ
帰	キ
引き金	ヒキガネ
憧れ	アコガレ
スペシャル	スペシャル
たいへん	タイヘン
ふた	フタ
リュウ	リュウ
愚か者	オロカモノ
所有者	ショユウシャ
昨年	サクネン
見当たる	ミアタル
ファースト	ファースト
ブー	ブー
宛て	アテ
情	ジョウ
突撃	トツゲキ
テン	テン
兵隊	ヘイタイ
来月	ライゲツ
直面	チョクメン
電池	デンチ
くま	クマ
くらいなら	クライナラ
シアトル	シアトル
ソフト	ソフト
極めて	キワメテ
煮る	ニル
被告	ヒコク
解明	カイメイ
賄賂	ワイロ
いまだ	イマダ
パスワード	パスワード
まじる	マジル
大規模	ダイキボ
運べる	ハコベル
麗	レイ
ジーン	ジーン
けれども	ケレドモ
ユウ	ユウ
一種	イッシュ
三井	ミツイ
中毒	チュウドク
人助け	ヒトダスケ
分だけ	フンダケ
前方	ゼンポウ
報う	ムクウ
本性	ホンショウ
絶つ	タツ
証し	ショウシ
そそる	ソソル
ヤマ	ヤマ
一時	イチジ
児童	ジドウ
心の準備	ココロノジュンビ
手品	テジナ
最優先	サイユウセン
独占	ドクセン
終	オワリ
鼓動	コドウ
ご主人様	ゴシュジンサマ
ネックレス	ネックレス
頬	ホオ
マリオ	マリオ
ルース	ルース
初期	ショキ
引き出し	ヒキダシ
きち	キチ
その他	ソノホカ
ノイズ	ノイズ
ボストン	ボストン
われる	ワレル
名刺	メイシ
居所	イドコロ
張	チョウ
育ち	ソダチ
しょう	ショウ
に従って	ニシタガッテ
杏	アンズ
うめ	ウメ
スタジアム	スタジアム
パーカー	パーカー
パフォーマンス	パフォーマンス
ひとまず	ヒトマズ
柚	ユズ
盗賊	トウゾク
腰抜け	コシヌケ
ドローン	ドローン
図る	ハカル
孫悟空	ソンゴクウ
甘える	アマエル
キャッチ	キャッチ
ケガ人	ケガニン
ずる	ズル
住める	スメル
情け	ナサケ
かえって	カエッテ
コイル	コイル
ゴキブリ	ゴキブリ
健	タケシ
吐き気	ハキケ
尚	タカシ
白血球	ハッケッキュウ
真田	サナダ
解釈	カイシャク
いかにも	イカニモ
拳銃	ケンジュウ
欠席	ケッセキ
特製	トクセイ
笑	ワライ
見習う	ミナラウ
里子	サトコ
オムツ	オムツ
わたる	ワタル
今月	コンゲツ
佑	ユウ
勝る	マサル
嬢	ジョウ
定める	サダメル
愛せる	アイセル
ご協力	ゴキョウリョク
プライベート	プライベート
木曜	モクヨウ
来れる	コレル
空軍	クウグン
跋	バツ
お部屋	オヘヤ
傾ける	カタムケル
処女	ショジョ
労働者	ロウドウシャ
こぼす	コボス
人違い	ヒトチガイ
効果的	コウカテキ
同胞	ドウホウ
食い物	クイモノ
ドキュメンタリー	ドキュメンタリー
ボクシング	ボクシング
レーン	レーン
伝統的	デントウテキ
初恋	ハツコイ
虐殺	ギャクサツ
コメディ	コメディ
スペイン語	スペインゴ
サンフランシスコ	サンフランシスコ
シャロン	シャロン
ひたすら	ヒタスラ
メン	メン
拒絶	キョゼツ
物件	ブッケン
砕ける	クダケル
美紀	ミキ
返信	ヘンシン
迷い	マヨイ
ウィスコンシン	ウィスコンシン
エリート	エリート
画家	ガカ
かゆい	カユイ
乱す	ミダス
交通事故	コウツウジコ
競う	キソウ
お電話	オデンワ
ひょう	ヒョウ
晴らす	ハラス
決めつける	キメツケル
腹部	フクブ
要塞	ヨウサイ
ギャグ	ギャグ
スカイ	スカイ
中継	チュウケイ
剤	ザイ
振るう	フルウ
設立	セツリツ
錠	ジョウ
お祈り	オイノリ
くし	クシ
ドイツ人	ドイツニン
料金	リョウキン
正当	セイトウ
泊	ハク
無能	ムノウ
シドニー	シドニー
ワクチン	ワクチン
わらう	ワラウ
広める	ヒロメル
桐生	キリュウ
赤血球	セッケッキュウ
ヘザー	ヘザー
われわれ	ワレワレ
卑怯	ヒキョウ
基	モト
戦術	センジュツ
省	ショウ
神話	シンワ
芸能人	ゲイノウジン
アシュリー	アシュリー
カマ	カマ
ハナ	ハナ
ゆでる	ユデル
七海	シチウミ
引き換え	ヒキカエ
悪事	アクジ
殻	カラ
いと	イト
ばい	バイ
励ます	ハゲマス
地味	ジミ
市警	シケイ
採取	サイシュ
癒やし	ユヤシ
駆ける	カケル
あめ	アメ
お代わり	オカワリ
バースト	バースト
公式	コウシキ
名簿	メイボ
理屈	リクツ
盛大	セイダイ
アイルランド	アイルランド
お見舞い	オミマイ
溝	ミゾ
秋山	アキヤマ
アラーム	アラーム
マーサ	マーサ
所持	ショジ
サムライ	サムライ
ピンキー	ピンキー
不機嫌	フキゲン
乳	チチ
仕留める	シトメル
区域	クイキ
地下鉄	チカテツ
無知	ムチ
藤堂	トウドウ
詐欺師	サギシ
鶴	ツル
おりる	オリル
ナッツ	ナッツ
なんだか	ナンダカ
反論	ハンロン
守り	マモリ
恵み	メグミ
想像力	ソウゾウリョク
真理	シンリ
能	ノウ
アレン	アレン
叔母	オバ
吸引	キュウイン
小銭	コゼニ
小麦粉	コムギコ
所詮	ショセン
高麗	コウライ
クソガキ	クソガキ
ボロい	ボロイ
再婚	サイコン
圧倒	アットウ
埋葬	マイソウ
引き起こす	ヒキオコス
散々	サンザン
没収	ボッシュウ
菅原	スガワラ
風の音	カゼノオト
黄瀬	キセ
あっさり	アッサリ
かかわる	カカワル
ヘレン	ヘレン
予告	ヨコク
徳永	トクナガ
押収	オウシュウ
ボルト	ボルト
お迎え	オムカエ
シュー	シュー
パート	パート
めぐみ	メグミ
文章	ブンショウ
気持ちよい	キモチヨイ
組長	クミチョウ
卑劣	ヒレツ
反する	ハンスル
担当者	タントウシャ
治せる	ナオセル
産	サン
緋	ヒ
征服	セイフク
業務	ギョウム
気合	キアイ
済まない	スマナイ
アルコール	アルコール
イム	イム
ゾーン	ゾーン
制圧	セイアツ
売却	バイキャク
火山	カザン
誓って	チカッテ
ウルフ	ウルフ
ステラ	ステラ
偽装	ギソウ
手入れ	テイレ
望月	モチヅキ
正	セイ
見届ける	ミトドケル
隅	スミ
あぶる	アブル
愉快	ユカイ
未練	ミレン
面白	オモシロ
元カノ	モトカノ
報い	ムクイ
暗黒	アンコク
イルカ	イルカ
康一	コウイチ
絞める	シメル
見込み	ミコミ
述べる	ノベル
長引く	ナガビク
バカバカしい	バカバカシイ
激怒	ゲキド
見る目	ミルメ
ウィルソン	ウィルソン
竹山	タケヤマ
クワ	クワ
出版	シュッパン
稽古	ケイコ
若い頃	ワカイゴロ
韓国語	カンコクゴ
イイ	イイ
ガッツ	ガッツ
モーリス	モーリス
爆撃	バクゲキ
背景	ハイケイ
芸	ゲイ
ガイド	ガイド
くらう	クラウ
こぐ	コグ
スッキリ	スッキリ
だま	ダマ
ピース	ピース
プレゼン	プレゼン
ほお	ホオ
作り上げる	ツクリアゲル
分野	ブンヤ
恭	ヤス
遠ざける	トオザケル
飽和	ホウワ
ウォーカー	ウォーカー
ハト	ハト
ヘ	ヘ
人種差別	ジンシュサベツ
身勝手	ミガッテ
部族	ブゾク
セラ	セラ
使用人	シヨウニン
学者	ガクシャ
走り	ハシリ
限定	ゲンテイ
痕	アト
真っ赤	マッカ
福	フク
職務	ショクム
脂肪	シボウ
青春	セイシュン
シルバー	シルバー
優雅	ユウガ
比較	ヒカク
さまよう	サマヨウ
凪	ナギ
慎む	ツツシム
著者	チョシャ
鐘	カネ
トカゲ	トカゲ
リビング	リビング
寿司	スシ
弱	ジャク
時空	ジクウ
発動	ハツドウ
ボラ	ボラ
